,Cellphone Img,Cellphone Brand,Cellphone Model,Tag
90,"https://images-na.ssl-images-amazon.com/images/I/61kSwEUN-LL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS MAX Oro - 64GB - Telcel Prepago ,3
91,"https://images-na.ssl-images-amazon.com/images/I/61fTLHIaW%2BL._AC_UL200_SR200,200_.jpg",Samsung-,Smartphone Galaxy A 30 32 GB Negro ,3
92,"https://images-na.ssl-images-amazon.com/images/I/61ezYB5jJWL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Oro - 512GB - Telcel Prepago ,3
93,"https://images-na.ssl-images-amazon.com/images/I/41xXVO6N81L._AC_UL200_SR200,200_.jpg",motorola,Smartphone Moto Z2 Play xt171006 Gris AT&T pre-Pago ,3
94,"https://images-na.ssl-images-amazon.com/images/I/41IORsv4DBL._AC_UL200_SR200,200_.jpg",motorola,Smartphone Moto C xt1756 Negro AT&T pre-Pago ,3
95,"https://images-na.ssl-images-amazon.com/images/I/31NTwK91paL._AC_UL200_SR200,200_.jpg",Smartphone,Apple iPhone 8 256GB color plata. AT&T pre-pago ,3
96,"https://images-na.ssl-images-amazon.com/images/I/41ZYRUWMtIL._AC_UL200_SR200,200_.jpg",Hisense,Smartphone L675 Pro Plata AT&T pre-Pago ,3
97,"https://images-na.ssl-images-amazon.com/images/I/411uxEX4PCL._AC_UL200_SR200,200_.jpg",HUAWEI,Smartphone P10 Lite Azul AT&T pre-Pago ,3
98,"https://images-na.ssl-images-amazon.com/images/I/411te0WVwBL._AC_UL200_SR200,200_.jpg",Samsung,Smartphone Grand Prime Plus smg532m Dorado AT&T pre-Pago ,3
99,"https://images-na.ssl-images-amazon.com/images/I/61NhKRmmfBL._AC_UL200_SR200,200_.jpg",Apple,Smartphone iPhone XS Plata - 256GB - Telcel Prepago ,3
100,"https://images-na.ssl-images-amazon.com/images/I/51xHLxgGgkL._AC_UL200_SR200,200_.jpg",Smartphone,"Apple iPhone 7 128 GB, plateado. Telcel pre-pago  ",3
